RecipeId,id,score,[features],URL,query,facet
381135,cc103b94-5d62-4e13-8621-161c8416e672,16.879377,"documentRecency=0.074215695,documentRating=1.0,documentReviewCount=6.529546E-4,originalScore=16.879377",http://localhost:3000/recipe/381135,easy bread,
258329,60e964f2-5bac-44ff-b5b4-16d0097cd79d,16.879377,"documentRecency=0.06569615,documentRating=1.0,documentReviewCount=9.794319E-4,originalScore=16.879377",http://localhost:3000/recipe/258329,easy bread,
263935,d71c35bd-c995-48c0-9888-3636a05479d6,16.879377,"documentRecency=0.066015854,documentRating=0.0,documentReviewCount=0.0,originalScore=16.879377",http://localhost:3000/recipe/263935,easy bread,
264721,58015984-68c3-4a69-8a8d-baa3192338eb,16.879377,"documentRecency=0.06605157,documentRating=1.0,documentReviewCount=0.004244205,originalScore=16.879377",http://localhost:3000/recipe/264721,easy bread,
265121,0f93b045-531d-4845-88b9-26120b97a161,16.879377,"documentRecency=0.06608732,documentRating=1.0,documentReviewCount=0.0016323866,originalScore=16.879377",http://localhost:3000/recipe/265121,easy bread,
89506,f5e8570e-ecee-40ae-a983-cf724e8eb334,16.879377,"documentRecency=0.053515233,documentRating=1.0,documentReviewCount=3.264773E-4,originalScore=16.879377",http://localhost:3000/recipe/89506,easy bread,
346007,8c0b8d8c-d5ce-4387-bbcb-0c876ad3f441,16.879377,"documentRecency=0.071408644,documentRating=0.9,documentReviewCount=6.529546E-4,originalScore=16.879377",http://localhost:3000/recipe/346007,easy bread,
350443,b56816ee-6401-4a78-9be5-ea6f7e80ae15,16.879377,"documentRecency=0.07167415,documentRating=1.0,documentReviewCount=0.022200458,originalScore=16.879377",http://localhost:3000/recipe/350443,easy bread,
209275,e1b7f10c-9387-41fd-b11d-d46d285cf38e,16.879377,"documentRecency=0.06289825,documentRating=0.7,documentReviewCount=6.529546E-4,originalScore=16.879377",http://localhost:3000/recipe/209275,easy bread,
209486,002823e0-9dae-4219-afeb-4b6f5d2293b2,16.879377,"documentRecency=0.06290905,documentRating=0.9,documentReviewCount=0.0013059092,originalScore=16.879377",http://localhost:3000/recipe/209486,easy bread,
218154,3ed6f692-2d32-4f5d-bb14-a234fe9a03b3,16.879377,"documentRecency=0.0633881,documentRating=0.0,documentReviewCount=0.0,originalScore=16.879377",http://localhost:3000/recipe/218154,easy bread,
225132,bd4458c9-63f5-4011-a805-1926d2cf4eb4,16.879377,"documentRecency=0.06379661,documentRating=1.0,documentReviewCount=6.529546E-4,originalScore=16.879377",http://localhost:3000/recipe/225132,easy bread,
227295,a9808538-f9d6-45d0-8f52-9fdf274735c2,16.879377,"documentRecency=0.06393024,documentRating=1.0,documentReviewCount=9.794319E-4,originalScore=16.879377",http://localhost:3000/recipe/227295,easy bread,
